TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
319848501352,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/lit/formats
319848551487,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/lit/formats/__pycache__
319848589014,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/lit/__pycache__
319848613995,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/examples
319848660608,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/examples/many-tests
319848688762,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/utils/lit/utils
319848718144,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/build/unittests
319848741984,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/include
319848806767,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/share
319848894240,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/share/llvm
319848929898,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/share/opt-viewer
319848958205,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/share/clang
319848983864,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib
319849351895,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/cmake
319849390876,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/cmake/llvm
319849456151,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/cmake/clang
319849497928,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang
319849553744,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18
319849622476,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include
319849856415,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/ppc_wrappers
319849926155,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/xray
319849968336,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/cuda_wrappers
319850004305,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/cuda_wrappers/bits
319850045110,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/llvm_libc_wrappers
319850076227,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/sanitizer
319850123350,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/profile
319850151027,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/orc
319850189481,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/fuzzer
319850215999,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/include/openmp_wrappers
319850245999,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/share
319850276422,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/lib
319850308708,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/lib/clang/18/lib/linux
319850418132,2115,0,1,0,0,1,0,1,/usr/lib/llvm-18/bin
319850670321,2115,0,1,0,0,1,0,1,/usr/lib/console-setup
319850713285,2115,0,1,0,0,1,0,1,/usr/lib/rsyslog
319850764999,2115,0,1,0,0,1,0,1,/usr/lib/sysctl.d
319850792713,2115,0,1,0,0,1,0,1,/usr/lib/groff
319850847799,2115,0,1,0,0,1,0,1,/usr/lib/groff/site-tmac
319850899516,2115,0,1,0,0,1,0,1,/usr/lib/dbus-1.0
319850936293,2115,0,1,0,0,1,0,1,/usr/lib/landscape
319850972968,2115,0,1,0,0,1,0,1,/usr/lib/apt
319850996910,2115,0,1,0,0,1,0,1,/usr/lib/apt/methods
319851057422,2115,0,1,0,0,1,0,1,/usr/lib/apt/planners
319851088609,2115,0,1,0,0,1,0,1,/usr/lib/apt/solvers
319851136802,2115,0,1,0,0,1,0,1,/usr/lib/wsl
319852363182,2115,0,1,0,0,1,0,1,/usr/lib/wsl/lib
319858386194,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers
320437987169,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/1394.inf_amd64_ff5c4e8141fc4520
320439657208,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/3ware.inf_amd64_408ceed6ec8ab6cd
320441638493,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/61883.inf_amd64_9b37c5172d1526af
320443228790,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acerairplanemodecontroller.inf_amd64_36869
320444715914,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acerairplanemodecontroller.inf_amd64_fef9c
320456727846,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpi.inf_amd64_6723d7de9d8549b6
320458665946,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpiaudiocompositor.inf_amd64_047f553a6f70
320460140711,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpidev.inf_amd64_10eb45625423fa3a
320461775603,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpipagr.inf_amd64_d1093347a27ff89c
320463144918,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpipmi.inf_amd64_3ced06eb61dcc792
320464383440,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acpitime.inf_amd64_077ae87a0383a0f1
320465720216,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/acxhdaudiop.inf_amd64_fa7c1d2efe9a91bf
320466947353,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/adp80xx.inf_amd64_efb36fdc260e8bc8
320468212234,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/amdgpio2.inf_amd64_808fe94735c4c6b3
320469555420,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/amdi2c.inf_amd64_d7ae71f8eb52c084
320471103780,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/amdsata.inf_amd64_ea60132f1a9a7a62
320472441954,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/amdsbs.inf_amd64_e2a1e49127fb17ef
320473851720,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/amdwps.inf_amd64_b0724c1cada43447
320475302661,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/applessd.inf_amd64_5bfb8a70c16859cf
320476775891,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/apxunit.inf_amd64_174eb6d73d93af58
320478231848,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/arcsas.inf_amd64_b3d75f82c617ac6a
320480395378,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/athw8x.inf_amd64_600627b27b9c7b10
320482084663,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/audioendpoint.inf_amd64_271c4d03bad18da8
320483740904,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/avc.inf_amd64_12ca23d60da30d59
320485613868,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/b57nd60a.inf_amd64_86493878b5fef607
320487460239,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/basicdisplay.inf_amd64_2753efdbb0d9a226
320489397079,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/basicrender.inf_amd64_603fdf31ff1f0ffe
320491163706,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/battery.inf_amd64_e4fa5a294b543c6a
320492804318,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bcmdhd64.inf_amd64_0c3c6ca9708e5a9a
320494271673,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bcmfn2.inf_amd64_a3fc271971a957c6
320496339332,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bcmwdidhdpcie.inf_amd64_b244d6a9a7f90517
320498139818,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bda.inf_amd64_91c4255194db75e8
320500815568,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bios_1.13.inf_amd64_49175c43737bb2fc
320504306621,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bios_1.26.inf_amd64_ef012ae8a6359a50
320506792701,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/btampm.inf_amd64_1b9fc752735fb48b
320508728355,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bth.inf_amd64_aec90b8cb7f8100b
320511034809,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthlcpen.inf_amd64_e548001c25a89c83
320512490322,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthleenum.inf_amd64_80564ef826fb94ed
320513950487,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthmtpenum.inf_amd64_5e071f6a76ac0929
320515894721,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthoob.inf_amd64_2cc28a227e674d9b
320518178234,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthpan.inf_amd64_2816d8ea889268a8
320520093018,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthprint.inf_amd64_d8231f1053cf9ac7
320521699670,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/bthspp.inf_amd64_fe8876bc251f1d15
320523322995,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/buttonconverter.inf_amd64_aee7d50a9f1e8307
320525300746,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cdrom.inf_amd64_dc7b0d8271e8847c
320527359428,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/ch375wdm.inf_amd64_9aefacdabdc5cdd0
320528758411,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/chargearbitration.inf_amd64_13f42957fb8df0
320530642405,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cht4nulx64.inf_amd64_c8526fef8160095c
320532064184,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cht4sx64.inf_amd64_92ab40685a8dd200
320533674264,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/cht4vx64.inf_amd64_e8b3e0e0210f4723
320535480096,2115,0,1,0,0,1,0,1,/usr/lib/wsl/drivers/circlass.inf_amd64_de6e8e319511ae7b
